language,number
en,71679280
fr,7727535
de,6831709
und,5761836
it,3996355
es,2627854
ja,2576638
ru,1707694
pl,1664124
uk,1596934
tr,1427169
th,1321937
hi,1224823
qme,1034274
qht,465792
nl,454995
fi,453348
ar,435048
zh,432073
pt,401716
in,302120
el,301014
fa,237513
cs,225514
sv,216484
et,130506
ta,130241
ro,128956
ur,128130
ko,127183
zxx,121807
da,117079
art,105328
lv,94188
ca,91017
no,68071
tl,62673
ht,49467
sl,47903
vi,45666
qam,42691
iw,39484
eu,30478
gu,29133
bn,28768
bg,28234
lt,27928
sr,25917
te,23940
qst,23107
kn,21327
cy,19551
mr,16789
hu,13598
ka,13297
is,10797
am,8817
ml,8577
pa,6603
my,5863
or,5038
ne,3485
ps,3139
ckb,2711
si,1388
hy,950
sd,665
km,399
ug,183
dv,99
lo,91
qct,47
bo,21
