date,Ukraine,Russia,StandWithUkraine,Putin,UkraineRussiaWar,NATO,StopRussia,Russian,UkraineWar,Ukraine️
2022-2-23,3340,3077,444,2229,0,472,2,318,75,0
2022-2-24,813183,314606,180271,239757,1254,59212,6613,40915,25152,0
2022-2-25,2207154,659929,647442,339017,4846,151996,32204,65887,79022,0
2022-2-26,2346324,585363,661137,310586,89989,105238,173207,119157,157264,0
2022-2-27,2195842,549556,560787,314694,257468,86380,121827,154010,166923,0
2022-2-28,1645673,423902,329842,226322,487303,69983,217146,71295,94938,0
2022-3-1,1556925,402385,346978,214609,510550,67978,236956,57563,49018,2
2022-3-2,1304347,415080,326641,199983,457122,49740,82811,58797,66777,0
2022-3-3,1126722,356925,237466,247542,276090,48373,53821,55201,44005,47
2022-3-4,1023892,287162,156866,406378,163226,75954,116747,52175,31571,553
2022-3-5,876637,275043,164796,191746,103434,65646,109184,45260,24121,5944
2022-3-6,924268,297118,138231,240923,96698,54550,93997,56310,15840,109733
2022-3-7,943939,284787,116050,129246,60558,40652,81573,60401,18516,141514
2022-3-8,741973,242112,142654,107731,60272,45978,36730,34178,12362,114312
2022-3-9,675380,214991,159419,87108,51547,52393,84535,36491,23047,136452
2022-3-10,507235,201758,125516,77240,43818,26123,52745,26672,43807,59904
2022-3-11,527477,189037,138152,78899,64629,35553,62272,36430,60822,39348
2022-3-12,533938,168354,131958,68752,76884,29852,55560,30709,38032,60614
2022-3-13,597647,166643,135575,69063,76432,37863,58992,31565,56012,31400
2022-3-14,512917,167286,136284,62595,72543,32912,27784,23446,56220,19150
2022-3-15,536682,178905,135064,90640,59890,39236,34305,31145,32988,17054
2022-3-16,520541,156241,117651,75282,74507,39893,46365,28668,33170,13367
2022-3-17,502566,153048,120009,78991,66942,26957,51749,35364,24267,17706
2022-3-18,457683,181588,132032,97821,75495,25743,51665,27321,26751,25490
2022-3-19,401073,156444,119698,80040,48447,26318,32089,32915,20050,32590
2022-3-20,448550,161848,133695,72333,70419,21471,26831,35541,16726,48481
2022-3-21,441544,154345,129895,63734,75180,26756,33560,24724,17241,51077
2022-3-22,354947,152667,90617,58566,42303,21460,32906,28818,11987,42847
2022-3-23,365255,150066,86910,60532,35020,22608,27132,21825,11405,20526
2022-3-24,378292,129010,92396,52661,71398,74021,22840,21342,22493,16586
2022-3-25,300937,107179,87173,46992,39676,48831,14635,25800,18502,14248
2022-3-26,302776,122479,90309,52237,36969,27252,13767,25073,20170,10394
2022-3-27,282043,109216,71162,53883,26794,20152,15667,24208,16366,9960
2022-3-28,249230,105811,60286,46534,25001,15151,15254,16317,16399,11049
2022-3-29,226412,103134,41571,34843,35321,15660,14630,17093,10366,15695
2022-3-30,234921,93615,43931,39577,42306,13279,15191,15627,8828,10180
2022-3-31,245066,89232,45609,46177,35642,12920,17188,17133,13168,7019
2022-4-1,219288,89822,51143,37202,29899,10897,24873,15091,10809,17040
2022-4-2,246209,111500,80248,28537,33624,11581,22465,17916,11610,15843
2022-4-3,384021,143725,102283,53848,55767,19811,41276,23949,13490,23657
2022-4-4,296473,128714,113877,48307,44688,20623,55346,24186,11290,13737
2022-4-5,296592,156648,92204,45573,55017,16802,49546,22410,11820,15932
2022-4-6,259123,110986,72448,40913,32245,17892,24280,18562,18348,6848
2022-4-7,246094,107099,77514,34746,20918,23982,16543,20821,13381,7462
2022-4-8,262133,114436,67066,34869,20263,17017,29981,18641,9715,10801
2022-4-9,247369,93532,78405,36796,16448,14659,18613,25759,11813,7001
2022-4-10,238457,78175,58040,38512,25341,15917,27210,15194,9028,10084
2022-4-11,227846,89972,41006,38999,24457,21858,18394,31399,9962,7496
2022-4-12,232038,76062,45199,34483,21616,16948,14367,17503,8749,6038
2022-4-13,259399,86887,50143,34797,19469,34001,12069,19536,9965,5241
2022-4-14,223344,78322,36669,34528,27932,24064,12417,14418,8907,19532
2022-4-15,205244,73175,36374,29657,27224,27782,15080,13255,11672,25327
2022-4-16,183926,76272,30877,27633,16416,15411,13284,10790,7921,24612
2022-4-17,183874,77625,30958,23187,20730,12821,32391,13020,7661,32463
2022-4-18,206419,98887,40593,27824,28193,14867,25525,15481,8400,36322
2022-4-19,237867,89691,52118,28786,25996,14333,55686,15513,9888,27273
2022-4-20,196220,68353,42445,25406,33470,16686,18868,11740,11860,13936
2022-4-21,176085,68665,30650,34030,22094,12417,15894,17764,7498,19636
2022-4-22,159336,66809,31089,34943,18055,15029,12665,13668,5687,20070
2022-4-23,180408,62798,38317,28487,24588,11559,17921,13576,7334,27107
2022-4-24,170755,57605,36917,31022,18927,10645,12732,16341,4491,22625
2022-4-25,171656,68934,29436,23654,15488,14639,8585,20464,7730,8410
2022-4-26,180989,73185,40843,28653,25610,17135,9260,13614,8018,9637
2022-4-27,208876,88940,42281,29734,23213,15327,9502,15302,7756,7813
2022-4-28,210196,67286,34794,28544,27036,17235,10779,15424,9372,8180
2022-4-29,187212,54836,29368,23927,20305,11851,9332,16358,10024,8598
2022-4-30,167551,55704,40687,24932,12168,12461,11048,14374,8485,7151
2022-5-1,208278,70564,36392,23848,20513,9792,9369,13448,9640,4436
2022-5-2,161854,78938,43700,26194,21000,11553,10422,12321,9923,24656
2022-5-3,164965,69105,42820,27089,26291,14349,11871,16727,15780,15584
2022-5-4,162695,62670,41643,23379,15895,17641,11212,14154,10388,10491
2022-5-5,157184,61691,34539,22625,18029,12726,10018,13824,12178,9386
2022-5-6,159369,65179,24402,21202,19197,11895,7711,10184,10070,5958
2022-5-7,157564,62059,24935,20642,19973,14150,8042,10388,8268,13363
2022-5-8,184642,65757,67894,22817,14053,14925,10288,12297,6582,14331
