date,en,fr,de,und,it,es,ja,ru,pl,uk,tr,th,hi,qme,qht,nl,fi,ar,zh,pt,in,el,fa,cs,sv,et,ta,ro,ur,ko,zxx,da,art,lv,ca,no,tl,ht,sl,vi,qam,iw,eu,gu,bn,bg,lt,sr,te,qst,kn,cy,mr,hu,ka,is,am,ml,pa,my,or,ne,ps,ckb,si,hy,sd,km,ug,dv,lo,qct,bo
2022-2-23,9768,313,337,1329,558,315,34,3194,3105,220,458,7,526,0,0,55,1253,80,13,24,76,28,11,38,377,20,9,5,123,1,0,18,0,152,15,68,12,6,22,0,0,89,11,6,0,18,8,9,1,0,2,2,2,5,0,0,0,4,1,0,7,2,0,0,2,0,1,0,0,0,0,0,0
2022-2-24,978428,474226,57445,116058,64946,146682,18985,28731,48093,9719,222169,55199,31310,0,0,8500,11639,16454,2215,14959,6749,3318,3396,2121,2954,1375,3890,1836,3766,1284,0,1171,0,1543,1739,980,2621,829,545,105,0,553,388,1075,291,171,357,176,367,0,228,184,615,109,48,82,41,256,167,8,218,152,232,49,37,17,176,10,0,12,4,0,0
2022-2-25,2230287,318532,136150,250584,76909,139716,93934,42817,88455,27895,127259,189829,88352,0,0,13147,13404,22090,10628,25201,12757,6355,7768,6558,4364,3382,11692,2258,8940,9092,0,2615,0,2024,2293,1269,4170,1274,1587,165,0,1069,266,1624,895,328,426,586,1801,0,688,494,1743,339,377,117,200,539,680,49,375,357,430,88,107,40,172,15,0,5,12,0,10
2022-2-26,2434877,201300,169537,337215,68197,116024,130222,39558,95060,25028,93997,77165,47683,0,0,12650,15791,22921,12324,19656,7156,5976,22459,9578,4878,3161,9367,2439,4692,11988,0,2853,0,2123,2819,1802,2756,950,943,190,0,1128,653,868,1015,308,444,427,1128,0,484,486,1015,359,1319,169,135,590,661,199,177,123,155,141,55,28,65,5,2,2,2,0,7
2022-2-27,2199975,244755,185368,262828,70929,140221,129858,41231,85145,33756,52513,83458,47747,0,0,14502,12862,19859,11784,17975,7577,6914,20881,7411,5480,6924,5509,2911,3269,16080,0,3320,0,2332,2695,1612,2170,939,1055,220,0,900,397,910,648,297,610,422,1179,0,355,670,685,333,450,137,119,670,560,65,153,98,74,122,41,20,28,2,5,3,1,0,1
2022-2-28,1848918,246828,117945,204763,73008,108958,84811,40066,70573,30538,39154,79096,72031,0,0,9781,13676,18653,10094,16364,8676,5954,10357,5514,3827,3275,8096,3311,2409,6670,0,2676,0,1761,2287,1396,1514,1031,1084,201,0,950,327,2403,688,202,560,397,1211,0,996,330,1108,237,514,69,87,602,551,113,210,195,83,156,64,31,15,31,16,1,12,0,0
2022-3-1,1759303,235774,107108,192542,71939,101342,67442,35911,52961,28192,42900,152051,69014,0,0,8198,10799,17722,8788,13972,7755,5391,5418,4588,3504,2203,7455,5549,2064,6223,0,3297,0,1617,3045,888,1412,946,1347,196,0,710,348,2543,862,188,247,404,688,0,1325,736,1451,232,157,83,47,536,391,97,308,115,53,103,67,26,9,17,4,0,4,0,0
2022-3-2,1553925,178886,103115,174665,69554,92082,52822,33348,47980,29151,31759,61072,60256,0,0,7330,12090,15226,9578,17201,11305,5029,6066,5230,4138,2007,10440,2819,2027,3504,0,4002,0,1838,3884,979,1199,534,1144,401,0,897,264,2910,670,456,237,351,740,0,1487,211,1238,200,54,59,88,566,475,107,432,215,59,88,47,16,6,17,2,0,8,0,0
2022-3-3,1665016,142530,94503,181854,52915,72525,53898,25529,41453,29937,21536,47068,355778,0,0,6971,7442,11174,8522,12211,7575,4096,4797,4372,3486,2513,8892,1630,1447,2077,0,2191,0,1990,2746,939,1105,847,780,250,0,791,263,1038,1436,175,201,473,614,0,1329,148,782,171,80,53,60,411,426,141,337,273,58,85,51,19,15,7,2,7,2,0,0
2022-3-4,1553806,106214,95023,141107,47563,60823,54310,22115,30986,35045,17612,42424,100777,0,0,7560,7195,8984,6712,8271,6543,3817,4201,6801,2431,1300,4128,1240,978,3035,0,2491,0,1790,1835,798,708,880,927,302,0,448,225,442,593,215,451,332,402,0,550,198,511,266,90,62,84,318,254,118,243,123,30,75,19,29,5,23,11,1,4,0,0
2022-3-5,1205448,100289,84195,137191,45992,49081,60950,18628,27304,37319,14022,18615,61771,0,0,6038,5476,7713,6005,5461,4787,2432,3947,5214,2233,1131,4769,3176,753,2377,0,1424,0,1239,1589,801,554,472,544,106,0,528,252,467,469,151,241,376,385,0,446,149,384,211,44,81,141,337,195,52,151,66,21,24,12,6,0,10,16,2,3,0,0
2022-3-6,1308187,112019,77887,136823,48885,45745,43077,19303,24327,36702,12133,17213,29523,0,0,6673,5474,5645,6429,7121,4073,3182,2679,3871,2632,3294,2143,2719,707,1147,0,2288,0,1233,1852,988,988,378,679,188,0,845,213,234,369,154,178,298,240,0,361,230,181,104,37,33,80,172,79,33,133,49,15,45,17,10,7,1,2,2,1,0,0
