day,daily_users,daily_tweets
2022-2-23,15755,22828
2022-2-24,1214450,2353664
2022-2-25,1801766,3998296
2022-2-26,1618414,4028524
2022-2-27,1443474,3762622
2022-2-28,1210418,3167909
2022-3-1,1163834,3051515
2022-3-2,1038745,2628795
2022-3-3,926809,2892447
2022-3-4,833199,2397138
2022-3-5,713488,1934561
2022-3-6,720625,1982584
2022-3-7,766617,1838556
2022-3-8,630100,1466299
2022-3-9,622579,1453956
2022-3-10,478835,1067841
2022-3-11,465991,1108117
2022-3-12,446411,1085742
2022-3-13,434534,1138558
2022-3-14,415531,995286
2022-3-15,419895,996005
2022-3-16,435685,982297
2022-3-17,422674,962355
2022-3-18,419734,961004
2022-3-19,335631,825207
2022-3-20,341080,875773
2022-3-21,354065,884966
2022-3-22,311396,748771
2022-3-23,289293,698442
2022-3-24,329577,770991
2022-3-25,267540,612416
2022-3-26,251179,608560
2022-3-27,237336,564640
2022-3-28,216295,491452
2022-3-29,198646,450781
2022-3-30,204239,455670
2022-3-31,213022,474069
2022-4-1,192232,442289
2022-4-2,203858,501866
2022-4-3,292177,768098
2022-4-4,274279,661233
2022-4-5,285006,653132
2022-4-6,239222,532086
2022-4-7,231018,512940
2022-4-8,223982,517402
2022-4-9,203416,476097
2022-4-10,183696,431479
2022-4-11,183824,431538
2022-4-12,187480,424901
2022-4-13,191685,471696
2022-4-14,196633,432551
2022-4-15,172644,403689
2022-4-16,155758,371439
2022-4-17,164261,388433
2022-4-18,181540,430423
2022-4-19,203922,477268
2022-4-20,168795,379010
2022-4-21,149647,355251
2022-4-22,140505,327527
2022-4-23,153849,362906
2022-4-24,149080,341441
2022-4-25,138061,325180
2022-4-26,154461,365343
2022-4-27,151051,382321
2022-4-28,153778,379015
2022-4-29,140525,326435
2022-4-30,137759,319440
2022-5-1,146731,356452
2022-5-2,146699,337875
2022-5-3,145791,326793
2022-5-4,143759,315882
2022-5-5,135595,301097
2022-5-6,127477,291344
2022-5-7,122834,298544
2022-5-8,164931,375952
2022-5-9,176824,393422
2022-5-10,131099,290063
2022-5-11,121211,272724
2022-5-12,127637,284994
2022-5-13,122066,266874
2022-5-14,147609,306987
2022-5-15,149082,318281
2022-5-16,137674,308854
2022-5-17,119229,262659
2022-5-18,115775,255310
2022-5-19,88607,177759
2022-5-20,111191,240791
2022-5-21,96306,214826
2022-5-22,94359,202820
2022-5-23,104099,227310
2022-5-24,100601,212366
2022-5-25,87416,191954
2022-5-26,102955,221953
2022-5-27,104132,220664
2022-5-28,129743,259885
2022-5-29,119748,247206
2022-5-30,97274,220424
2022-5-31,88588,200358
2022-6-1,93285,207149
2022-6-2,83954,179630
2022-6-3,91400,200426
2022-6-4,78817,180537
2022-6-5,91577,214351
2022-6-6,81201,182371
2022-6-7,82521,185045
2022-6-8,83674,195325
2022-6-9,81061,195281
2022-6-10,82234,187116
2022-6-11,81220,188629
2022-6-12,79828,186764
2022-6-13,75030,176033
2022-6-14,64057,138768
2022-6-15,76983,181351
2022-6-16,91968,210777
2022-6-17,84008,185719
2022-6-18,73817,161376
2022-6-19,68529,155576
2022-6-20,78765,178487
2022-6-21,78702,168905
2022-6-22,75999,172132
2022-6-23,88898,192523
2022-6-24,80199,171568
2022-6-25,67549,148897
2022-6-26,83714,194161
2022-6-27,102822,231121
2022-6-28,124747,267777
2022-6-29,122137,253914
2022-6-30,89569,179630
2022-7-1,84493,173931
2022-7-2,74912,155364
2022-7-3,69621,144272
2022-7-4,70358,149298
2022-7-5,72441,151096
2022-7-6,66819,133893
2022-7-7,65945,136632
2022-7-8,67559,140578
2022-7-9,61121,128603
2022-7-10,72175,145707
2022-7-11,79104,156178
2022-7-12,70763,143181
2022-7-13,60037,127785
2022-7-14,82205,168783
2022-7-15,74813,151130
2022-7-16,56573,118096
2022-7-17,70671,135711
2022-7-18,67971,135319
2022-7-19,63321,128974
2022-7-20,70135,144237
2022-7-21,72327,140454
2022-7-22,66453,132250
2022-7-23,61460,125930
2022-7-24,53376,113850
2022-7-25,56751,117699
2022-7-26,56420,115993
2022-7-27,63902,121658
2022-7-28,77306,156865
2022-7-29,97706,192476
2022-7-30,76808,150772
2022-7-31,70130,145234
2022-8-1,65747,130508
2022-8-2,75715,140687
2022-8-3,68876,130970
2022-8-4,66475,130176
2022-8-5,65115,130079
2022-8-6,72603,141488
2022-8-7,77405,146296
2022-8-8,66996,133694
2022-8-9,60965,130083
2022-8-10,53364,112891
2022-8-11,56215,117234
2022-8-12,46204,95333
2022-8-13,48059,100132
2022-8-14,47339,100187
2022-8-15,58501,121218
2022-8-16,58586,121130
2022-8-17,59462,122227
2022-8-18,64633,131835
2022-8-19,65237,135789
2022-8-20,66387,140235
2022-8-21,71742,142584
2022-8-22,68696,139108
2022-8-23,67895,141204
2022-8-24,128751,262100
2022-8-25,82878,166841
2022-8-26,71638,144736
2022-8-27,57072,114369
2022-8-28,54334,109658
2022-8-29,69251,145185
2022-8-30,70758,154035
2022-8-31,75338,154090
2022-9-1,74881,147946
2022-9-2,64254,130153
2022-9-3,68363,142411
2022-9-4,72729,149976
2022-9-5,85575,166149
2022-9-6,93140,170954
2022-9-7,77806,173566
2022-9-8,80284,179231
2022-9-9,73710,168520
2022-9-10,91482,216854
2022-9-11,111056,268412
2022-9-12,98963,228402
2022-9-13,93699,209973
2022-9-14,99360,222235
2022-9-15,86749,190140
2022-9-16,88891,191106
2022-9-17,91290,199717
2022-9-18,85110,180427
