created_at,activity,user_activity
2022-02-24,15737,12070
2022-02-25,33855,22193
2022-02-26,37117,20151
2022-02-27,30784,17430
2022-02-28,29205,16424
2022-03-01,34636,24617
2022-03-02,19651,12707
2022-03-03,18266,12325
2022-03-04,15696,11687
2022-03-05,11842,8805
2022-03-06,12502,8158
2022-03-07,10352,7608
2022-03-08,11738,8881
2022-03-09,15786,12545
2022-03-10,14155,12350
2022-03-11,20230,17399
2022-03-12,8416,5878
2022-03-13,10109,6380
2022-03-14,9128,6268
2022-03-15,9773,7592
2022-03-16,9220,6164
2022-03-17,7231,5112
2022-03-18,15520,12620
2022-03-19,9890,8072
2022-03-20,7544,4959
2022-03-21,9543,6697
2022-03-22,4575,2982
2022-03-23,3585,2392
2022-03-24,7278,5621
2022-03-25,3689,2682
2022-03-26,4907,3175
2022-03-27,5347,3923
2022-03-28,3184,1946
2022-03-29,2666,1683
2022-03-30,4628,3357
2022-03-31,3042,1914
2022-04-01,5703,3593
2022-04-02,6961,3910
2022-04-03,13147,9083
2022-04-04,7747,6454
2022-04-05,27890,25735
2022-04-06,10843,9328
2022-04-07,4161,3125
2022-04-08,5045,3959
2022-04-09,4457,3183
2022-04-10,3033,2069
2022-04-11,3277,2461
2022-04-12,2818,2027
2022-04-13,1905,1440
2022-04-14,2806,1782
2022-04-15,3786,2526
2022-04-16,3727,2618
2022-04-17,2418,1657
2022-04-18,2556,1635
2022-04-19,2702,1716
2022-04-20,2565,1302
2022-04-21,2113,1421
2022-04-22,2545,1784
2022-04-23,4189,3334
2022-04-24,3219,2425
2022-04-25,2447,1588
2022-04-26,2834,2069
2022-04-27,3585,2382
2022-04-28,3933,2892
2022-04-29,2950,2306
2022-04-30,1992,1394
2022-05-01,2917,2484
2022-05-02,2326,1873
2022-05-03,2380,1744
2022-05-04,1866,1359
2022-05-05,3438,2082
2022-05-06,3222,2119
2022-05-07,2884,2372
2022-05-08,1981,1543
2022-05-09,2234,1551
2022-05-10,2372,1972
2022-05-11,2609,2188
2022-05-12,2632,2142
2022-05-13,2994,2044
2022-05-14,2198,1669
2022-05-15,2981,2307
2022-05-16,2701,2110
2022-05-17,2139,1707
2022-05-18,2913,2343
2022-05-19,2235,1872
2022-05-20,2607,1977
2022-05-21,3366,2627
2022-05-22,3399,2711
2022-05-23,2681,2148
2022-05-24,2408,1880
2022-05-25,3278,2518
2022-05-26,3064,2202
2022-05-27,3349,2413
2022-05-28,3352,2541
2022-05-29,7828,6321
2022-05-30,6555,5144
2022-05-31,6092,4592
2022-06-01,4839,3477
2022-06-02,3201,2256
2022-06-03,4145,2948
2022-06-04,4705,3403
2022-06-05,9250,6931
2022-06-06,6497,4570
2022-06-07,4301,2930
2022-06-08,4308,3170
2022-06-09,4416,3265
2022-06-10,3811,2795
2022-06-11,3536,2676
2022-06-12,6127,4397
2022-06-13,6628,4830
2022-06-14,4032,3036
2022-06-15,5999,4548
2022-06-16,4085,2975
2022-06-17,4848,3607
2022-06-18,2858,2047
2022-06-19,2976,1943
2022-06-20,3217,2289
2022-06-21,2916,2050
2022-06-22,2370,1591
2022-06-23,2668,1813
2022-06-24,5854,4257
2022-06-25,6712,4712
2022-06-26,7048,5343
2022-06-27,5135,3583
2022-06-28,3308,2355
2022-06-29,3087,2344
2022-06-30,1404,942
2022-07-01,1357,782
2022-07-02,1415,854
2022-07-03,1452,946
2022-07-04,1678,1253
2022-07-05,1252,795
2022-07-06,876,523
2022-07-07,1580,810
2022-07-08,1087,659
2022-07-09,1498,1103
2022-07-10,1558,1088
2022-07-11,2044,1470
2022-07-12,1137,776
2022-07-13,1029,634
2022-07-14,1101,578
2022-07-15,1055,679
2022-07-16,917,576
2022-07-17,1234,899
2022-07-18,644,411
2022-07-19,606,349
2022-07-20,949,572
2022-07-21,676,410
2022-07-22,1419,1062
2022-07-23,1070,647
2022-07-24,1005,668
2022-07-25,1130,721
